피터팻츠,애견카페,경기,경기 고양시 덕양구 대주로 358-78,(지번) 주교동 1309,http://blog.naver.com/peterpets,070-4242-6061
네이처독,애견카페,경기,경기 양주시 장흥면 호국로550번길 107,(지번) 장흥면 울대리 420-2,http://www.naturedog.co.kr/,031-877-5113
카페히릿,애견카페,서울,서울 광진구 광나루로 404 3층,(지번) 화양동 111-72,http://blog.naver.com/cafe_hirit,070-8870-4442
그라운독,애견카페,경기,경기 남양주시 진접읍 금강로1633번길 81-3,(지번) 진접읍 장현리 148-9,http://www.instagram.com/groun_dog,0507-1315-9673
개들의수다,애견카페,경기,경기 김포시 고촌읍 은행영사정로51번길 42 1층,(지번) 고촌읍 신곡리 394-1,#none,031-989-4518
더귀여워,애견카페,서울,서울 마포구 와우산로17길 15 서교동빌딩 5층,(지번) 서교동 409-1,https://www.instagram.com/skypillar5784,
오도독,애견카페,경기,경기 동두천시 삼육사로 1324-25,(지번) 탑동동 830-2,http://www.ohdodok.com,031-866-5999
혼자두면 장판뜯어서차린 개카페,애견카페,서울,서울 관악구 남부순환로 1665 3층,(지번) 봉천동 959-2,http://cafe.naver.com/lonelydog,02-887-3058
펖파크,애견카페,경기,경기 하남시 서하남로 23,(지번) 감북동 451-13,http://www.instagram.com/pup_park,02-6012-5454
카페더왈츠,애견카페,서울,서울 강남구 역삼로 134 MS빌딩 1층,(지번) 역삼동 834-8,#none,02-564-0927
25디셈브리스,애견카페,경남,경남 양산시 동면 웅상대로 171-19 1층,(지번) 동면 법기리 1008-1,#none,
인천개공원,애견카페,인천,인천 남동구 무네미로 201-15,(지번) 장수동 452-1,http://blog.naver.com/ms840812,032-461-6021
우프우프 영종점,애견카페,인천,인천 중구 하늘달빛로64번길 6-3 스카이메디컬프라자 4층 401호,(지번) 중산동 1874-8,https://instagram.com/woofwoof_dogcafe,0507-1409-8588
푼타하우스,애견카페,경기,경기 하남시 서하남로451번길 13-66,(지번) 춘궁동 294-1,https://www.instagram.com/puntahouse,010-7435-0409
구름뜬하늘,애견카페,서울,서울 마포구 와우산로27길 21 2층,(지번) 서교동 339-5,https://www.instagram.com/youngsoo0319/,02-3144-4978
코코밸리,애견카페,경기,경기 광주시 남한산성면 남한산성로 259,(지번) 남한산성면 오전리 364-1,http://cocovalley.co.kr,031-749-1209
루체인알티스,애견카페,경기,경기 안양시 만안구 태평로60번길 42 센트럴타워 508호,(지번) 안양동 1390-4,#none,010-2676-2081
아루스,애견카페,경기,경기 화성시 매송면 화성로 2298-8,(지번) 매송면 원평리 264-2,https://www.instagram.com/arus0510/,
애니멀고파크,애견카페,서울,서울 강남구 삼성로120길 36 1층,(지번) 삼성동 60-24,https://animalgo.io/,02-6204-5960
흐노니,애견카페,인천,인천 강화군 길상면 해안남로 328-7 1층,(지번) 길상면 장흥리 275-20,https://blog.naver.com/momodzip,070-4159-4029
비숲,애견카페,경기,경기 군포시 둔대로 28,(지번) 둔대동 423-28,http://blog.naver.com/visoop,031-438-2191
개떼놀이터 용인점,애견카페,경기,경기 용인시 기흥구 용구대로2335번길 47,(지번) 마북동 494-1,http://www.Instagram.com/mydog_yongin,031-282-2355
